imdbId,title,overview,genres,keywords,cast,director,voteAverage,voteCount,popularity,releaseDate,year,runtime,tagline,search_content,tmdbId,posterPath,backdropPath,homepage,status
tt8291224,Uri: The Surgical Strike,Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group.,"['Action', 'Drama', 'War']",[],"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam', 'Kirti Kulhari', 'Rajit Kapoor', 'Ivan Rodrigues', 'Manasi Parekh', 'Swaroop Sampat', 'Riva Arora', 'Yogesh Soman', 'Fareed Ahmed', 'Akashdeep Arora', 'Kallol Banerjee']",Aditya Dhar,8.4,35112.0,2.7014,11 January 2019 (USA),2019,138,,"Uri: The Surgical Strike Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group.  Genres: ['Action', 'Drama', 'War'] Cast: ['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam', 'Kirti Kulhari', 'Rajit Kapoor', 'Ivan Rodrigues', 'Manasi Parekh', 'Swaroop Sampat', 'Riva Arora', 'Yogesh Soman', 'Fareed Ahmed', 'Akashdeep Arora', 'Kallol Banerjee'] Director: Aditya Dhar",554600.0,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,/gEDzACsdPbsHZQ0I80FLYFCf2nt.jpg,,Released
tt9472208,Battalion 609,The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban.,['War'],[],"['Vicky Ahuja', 'Shoaib Ibrahim', 'Shrikant Kamat', 'Elena Kazan', 'Vishwas Kini', 'Major Kishore', 'Jashn Kohli', 'Rammy C. Pandey', 'Manish Sharma', 'Sparsh Sharma', 'Farnaz Shetty', 'Vikas Shrivastav', 'Chandraprakash Thakur', 'Brajesh Tiwari']",Brijesh Batuknath Tripathi,4.1,73.0,0.1314,11 January 2019 (India),2019,131,,"Battalion 609 The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban.  Genres: ['War'] Cast: ['Vicky Ahuja', 'Shoaib Ibrahim', 'Shrikant Kamat', 'Elena Kazan', 'Vishwas Kini', 'Major Kishore', 'Jashn Kohli', 'Rammy C. Pandey', 'Manish Sharma', 'Sparsh Sharma', 'Farnaz Shetty', 'Vikas Shrivastav', 'Chandraprakash Thakur', 'Brajesh Tiwari'] Director: Brijesh Batuknath Tripathi",576152.0,/wcDBV1cxbbDUgZBjCkpIctPKHt9.jpg,/iypo2Q6euNEbV2LTHGX6KxAcuOQ.jpg,,Released
tt6986710,The Accidental Prime Minister (film),Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.,"['Biography', 'Drama']",[],"['Anupam Kher', 'Akshaye Khanna', 'Aahana Kumra', 'Atul Sharma', 'Manoj Anand', 'Arjun Mathur', 'Suzanne Bernert', 'Abdul Quadir Amin', 'Bharat Mistri', 'Divya Seth', 'Anil Rastogi', 'Ramesh Bhatkar', 'Parrgash Kaur', 'Jess Kaur']",Vijay Ratnakar Gutte,6.1,5549.0,0.9048,11 January 2019 (USA),2019,112,,"The Accidental Prime Minister (film) Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.  Genres: ['Biography', 'Drama'] Cast: ['Anupam Kher', 'Akshaye Khanna', 'Aahana Kumra', 'Atul Sharma', 'Manoj Anand', 'Arjun Mathur', 'Suzanne Bernert', 'Abdul Quadir Amin', 'Bharat Mistri', 'Divya Seth', 'Anil Rastogi', 'Ramesh Bhatkar', 'Parrgash Kaur', 'Jess Kaur'] Director: Vijay Ratnakar Gutte",460868.0,/ec6UmcBD4z76ZzlbZJWpHyr75yd.jpg,/wnoBdg4dMfWGW3rCU5VrBEQx9k1.jpg,,Released
tt8108208,Why Cheat India,The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  ...                    ,"['Crime', 'Drama']",[],"['Emraan Hashmi', 'Shreya Dhanwanthary', 'Snighdadeep Chatterji', 'Navneet Srivastava', 'Nanda Yadav']",Soumik Sen,6.0,1891.0,0.6089,18 January 2019 (USA),2019,121,,"Why Cheat India The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  ...                      Genres: ['Crime', 'Drama'] Cast: ['Emraan Hashmi', 'Shreya Dhanwanthary', 'Snighdadeep Chatterji', 'Navneet Srivastava', 'Nanda Yadav'] Director: Soumik Sen",569584.0,/cljRxxAOlmsmt1GOKymbNZNTHBF.jpg,/66rQ4zrohYIWYD8mN8J6wm83QOZ.jpg,,Released
tt6028796,Evening Shadows,Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths.,['Drama'],[],"['Mona Ambegaonkar', 'Ananth Narayan Mahadevan', 'Devansh Doshi', 'Arpit Chaudhary', 'Yamini Singh', 'Abhay Kulkarni', 'Veena Nair', 'Disha Thakur', 'Kala Ramanathan', 'Sushant Divgikar']",Sridhar Rangayan,7.3,280.0,0.1831,11 January 2019 (India),2018,102,,"Evening Shadows Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths.  Genres: ['Drama'] Cast: ['Mona Ambegaonkar', 'Ananth Narayan Mahadevan', 'Devansh Doshi', 'Arpit Chaudhary', 'Yamini Singh', 'Abhay Kulkarni', 'Veena Nair', 'Disha Thakur', 'Kala Ramanathan', 'Sushant Divgikar'] Director: Sridhar Rangayan",512188.0,/36jPtRncD9CKqkutWkOZ7oji100.jpg,/jvFRTXHs4INDr4qQ54vA9jDsW6s.jpg,,Released
tt6078866,Soni (film),While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.,['Drama'],[],"['Geetika Vidya Ohlyan', 'Saloni Batra', 'Vikas Shukla', 'Mohit Chauhan', 'Himanshu Kohli', 'Gauri Chakraborty', 'Mohinder Gujral', 'Upasya Goswami', 'Simrat Kaur', 'Dimple Kaur', 'Prateek Pachori', 'Kalpana Jha', 'Samar']",Ivan Ayr,7.2,1595.0,0.3745,18 January 2019 (USA),2018,97,,"Soni (film) While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.  Genres: ['Drama'] Cast: ['Geetika Vidya Ohlyan', 'Saloni Batra', 'Vikas Shukla', 'Mohit Chauhan', 'Himanshu Kohli', 'Gauri Chakraborty', 'Mohinder Gujral', 'Upasya Goswami', 'Simrat Kaur', 'Dimple Kaur', 'Prateek Pachori', 'Kalpana Jha', 'Samar'] Director: Ivan Ayr",539036.0,/gUczyiHIfi9kxme98T7yyIdyHFT.jpg,/kxm79ZnWt44LTJrD5IxGqkzR2QN.jpg,,Released
tt5013008,Fraud Saiyaan,Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.,"['Comedy', 'Drama']",[],"['Arshad Warsi', 'Saurabh Shukla', 'Flora Saini', 'Sara Loren', 'Varun Badola', 'Deepali Pansare', 'Nivedita Tiwari', 'Peeyush Suhaney', 'Preeti Sood', 'Parag Tyagi', 'Anangsha Biswas', 'Amanda Rosario', 'Elli Avrram']",Sourabh Shrivastava,4.2,504.0,0.353,18 January 2019 (India),2019,109,,"Fraud Saiyaan Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.  Genres: ['Comedy', 'Drama'] Cast: ['Arshad Warsi', 'Saurabh Shukla', 'Flora Saini', 'Sara Loren', 'Varun Badola', 'Deepali Pansare', 'Nivedita Tiwari', 'Peeyush Suhaney', 'Preeti Sood', 'Parag Tyagi', 'Anangsha Biswas', 'Amanda Rosario', 'Elli Avrram'] Director: Sourabh Shrivastava",569494.0,/jobB4ZKJSxvXwXgvtXz8HNMYhab.jpg,/l6C4qbCH4jp1p5OIcb9QXkrSzwD.jpg,,Released
tt4971258,Bombairiya,It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.,"['Comedy', 'Crime', 'Drama']",[],"['Radhika Apte', 'Akshay Oberoi', 'Siddhanth Kapoor', 'Ravi Kishan', 'Adil Hussain', 'Shilpa Shukla', 'Ajinkya Deo', 'Amit Sial']",Pia Sukanya,4.3,295.0,0.3511,18 January 2019 (India),2019,104,They didn't mean to change the world.,"Bombairiya It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen. They didn't mean to change the world. Genres: ['Comedy', 'Crime', 'Drama'] Cast: ['Radhika Apte', 'Akshay Oberoi', 'Siddhanth Kapoor', 'Ravi Kishan', 'Adil Hussain', 'Shilpa Shukla', 'Ajinkya Deo', 'Amit Sial'] Director: Pia Sukanya",556310.0,/cWXVQMhOZpMPFsR7Ea2dGO7aEwH.jpg,/3L32KjoS1bEg44MMxIalxHd3P44.jpg,,Released
tt6903440,Manikarnika: The Queen of Jhansi,Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.,"['Action', 'Biography', 'Drama']",[],"['Kangana Ranaut', 'Rimi Sen', 'Atul Kulkarni', 'Nalneesh Neel', 'Danny Denzongpa', 'Mishti', 'Kulbhushan Kharbanda', 'Mohammed Zeeshan Ayyub', 'Anil George', 'Vikram Kochhar', 'Edward Sonnenblick', 'Ankita Lokhande', 'Richard Keep', 'Jishu Sengupta']",Radha Krishna Jagarlamudi,6.5,7361.0,0.9522,25 January 2019 (USA),2019,148,,"Manikarnika: The Queen of Jhansi Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.  Genres: ['Action', 'Biography', 'Drama'] Cast: ['Kangana Ranaut', 'Rimi Sen', 'Atul Kulkarni', 'Nalneesh Neel', 'Danny Denzongpa', 'Mishti', 'Kulbhushan Kharbanda', 'Mohammed Zeeshan Ayyub', 'Anil George', 'Vikram Kochhar', 'Edward Sonnenblick', 'Ankita Lokhande', 'Richard Keep', 'Jishu Sengupta'] Director: Radha Krishna Jagarlamudi",491622.0,/kbTzlKKnZHZ8RYulknO4xqQOJ24.jpg,/fZSBNwHSXO4BF0AYYEQ1ctHzre2.jpg,,Released
tt7777196,Thackeray (film),Biographical account of Shiv Sena Supremo  Balasaheb Thackeray.,"['Biography', 'Drama']",[],"['Nawazuddin Siddiqui', 'Amrita Rao', 'Abdul Quadir Amin', 'Sanjay Narvekar', 'Prakash Belawadi', 'Vineet Sharma', 'Radha Sagar', 'Sonamoni Jayant Gadekar', 'Satish Alekar', 'Micky Makhija', 'Nikhil Mahajan', 'Resh Lamba', 'Jaywant Wadkar', 'Laxman Singh Rajput']",Abhijit Panse,5.1,2301.0,0.3555,25 January 2019 (India),2019,120,,"Thackeray (film) Biographical account of Shiv Sena Supremo  Balasaheb Thackeray.  Genres: ['Biography', 'Drama'] Cast: ['Nawazuddin Siddiqui', 'Amrita Rao', 'Abdul Quadir Amin', 'Sanjay Narvekar', 'Prakash Belawadi', 'Vineet Sharma', 'Radha Sagar', 'Sonamoni Jayant Gadekar', 'Satish Alekar', 'Micky Makhija', 'Nikhil Mahajan', 'Resh Lamba', 'Jaywant Wadkar', 'Laxman Singh Rajput'] Director: Abhijit Panse",570910.0,/yfjEuYlASO9xoT8nLp8pVqKCtZN.jpg,/oJwXS3kl3eWU7thx9IbilRgpCUg.jpg,,Released
